Gene_acc,PG.ProteinAccessions,S1,S2,S3,I1,I2,I3,Desc
15,Tb05.5K5.50:mRNA-p1;Tb927.5.4400:mRNA-p1,241944.5,393527.78125,496818.8125,1618847.375,1889295.25,1649478.375,"hypothetical protein, conserved"
16,Tb05.5K5.60:mRNA-p1;Tb927.5.4410:mRNA-p1,39931.08984375,37696.015625,41107.90625,1275009.125,1317672.25,1194218.875,"hypothetical protein, conserved"
17,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,2252625,2596554.75,2734083.25,6409132,6104961,7110039,"nucleolar RNA helicase II, putative"
18,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,95227.4765625,60700.10546875,84094.46875,551446.8125,611053.125,600492.375,"dynein light chain, putative"
19,Tb06.3A7.960:mRNA-p1,286826.75,268461.9375,232502.875,1240436.5,1448607.25,1359961.125,hypothetical protein
20,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,432081.28125,412665.59375,429465.65625,609436.25,607664.9375,559872.875,"zinc finger protein family member, putative"
21,Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1,200282.53125,229718.5625,208423.46875,130363.2734375,124238.3359375,132056.53125,procyclic-enriched flagellar receptor adenylate cyclase 6
23,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,395647.84375,423785.6875,414097.15625,176023.046875,159166.890625,182339.28125,hypothetical protein
25,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,396500.875,407588.53125,410238.125,64207.3515625,28432.13671875,110724.890625,"expression site-associated gene (ESAG) protein, putative"
26,Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1,235107.5625,367289.75,223296.59375,38084.609375,42404.3984375,91900.125,"small GTPase, putative"
29,Tb09.v4.0067:pseudogenic_transcript-p1,2466627.75,2674097,2622962,6930564.5,6058980.5,5726219.5,"retrotransposon hot spot protein, pseudogene"
32,Tb09.v4.0109:mRNA-p1,298928,315522.75,293378.5,330762.5,323703.09375,262489.25,hypothetical protein
34,Tb09.v4.0119:pseudogenic_transcript-p1,37891.140625,45131.5546875,11400.4833984375,70927.6796875,163103.015625,101373.8046875,"variant surface glycoprotein (VSG, pseudogene), putative"
36,Tb09.v4.0150:pseudogenic_transcript-p1,180637.625,123985.171875,129600.2890625,27307.765625,34132.89453125,5805.60205078125,"variant surface glycoprotein (VSG, pseudogene), putative"
38,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,557784.875,587120.3125,645445.375,626256.5625,543026,541954.125,pumillo RNA binding protein PUF1
39,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,216315.921875,338895.03125,366942.34375,461627.28125,382345.625,357203.90625,predicted SAP domain protein
40,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,1630978.5,1530009.625,1188714.625,222307.515625,130019.8671875,253742,"stress-inducible protein STI1-like, putative"
41,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,519152.03125,442960,455822.25,Filtered,44801.53125,38255.7734375,"leucine carboxyl methyltransferase, putative"
42,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,289428.625,301027,320831.6875,11772.4375,5294.3056640625,24168.90234375,"hypothetical protein, conserved"
43,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,193311.140625,43851.6796875,22340.13671875,357216.75,350818.34375,338964.125,"hypothetical protein, conserved"
44,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,603403.375,610015.4375,619041.875,Filtered,108432.546875,534238.3125,cap guanine-N7 methyltransferase
45,Tb10.v4.0041:mRNA-p1,693887.3125,386425.9375,343112.21875,36686.30859375,69855.65625,66829.4140625,"PUB domain containing protein, putative"
46,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,166896.53125,160133.390625,181407.953125,121083.3984375,Filtered,37471.890625,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative"
47,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,46644.4296875,21686.21875,38030.7421875,530156.6875,306168.15625,265190.4375,"hypothetical protein, conserved"
48,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,971481.75,977521.25,837377.125,4051927.5,3971165.5,3582387,"prohibitin 2, putative"
49,Tb10.v4.0066:pseudogenic_transcript-p1,246129.46875,379920.1875,327895,Filtered,Filtered,Filtered,"expression site-associated gene 3 (ESAG3, pseudogene), putative"
53,Tb10.v4.0217:mRNA-p1,213956.125,194324.34375,170067.90625,Filtered,Filtered,91739.8671875,hypothetical protein
54,Tb10.v4.0219:pseudogenic_transcript-p1,84228.4609375,74629.375,86078.9453125,45552.0546875,113526.0859375,33356.03515625,"retrotransposon hot spot protein (RHS, pseudogene), putative"
55,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,2839.522216796875,62458.3359375,14076.85546875,884691.6875,894144.625,740610.6875,base J-associated glucosyltransferase
57,Tb10.v4.0248:mRNA-p1;Tb927.10.6920:mRNA-p1,474547.09375,453279.96875,370660.5,2061508.625,2351526.75,2124582.75,hypothetical protein
58,Tb11.01.2730.1-p1,324712.75,391954.25,439044.34375,1533402,1551777.125,1566394.5,"hypothetical protein, conserved"
59,Tb11.01.6250:mRNA-p1,76836.9921875,66783.3984375,65782.4375,Filtered,Filtered,Filtered,"expression site-associated gene 11 (ESAG11) protein, putative"
60,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,107404.8515625,98448.296875,103214.9375,Filtered,Filtered,9259.9130859375,"NADH-ubiquinone oxidoreductase complex I subunit, putative"
61,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,1115948,1086463.5,1086169.75,318482.125,283580.1875,273205.375,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative"
62,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,137814.28125,161648.09375,153364.9375,559984.1875,581803.1875,630589.5625,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene"
64,Tb11.02.5360:mRNA-p1;Tb11.02.5360b.1-p1,63326.0703125,79112.984375,72707.859375,7530.89599609375,7505.03466796875,Filtered,"hypothetical protein, conserved"
65,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,2737612.25,3055953.75,3302700,13791142,8616744,13225638,"exosome complex exonuclease RRP44p homologue, putative"
66,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,245034.921875,224565.84375,219958.84375,68746.1875,65240.48828125,60524.92578125,"mRNA processing protein, putative"
67,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,61867.28515625,84003.59375,54917.01953125,Filtered,Filtered,Filtered,"cystathionine beta-synthase, putative"
68,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,667279.9375,729000,350494.3125,76645.3046875,198851.9375,107663,"ubiquitin activating enzyme, putative"
69,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,4535069,4474112,4410708.5,962541.75,990925.75,946407.875,"NADPH-cytochrome p450 reductase, putative"
70,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,179729.40625,180651.265625,157353.65625,47604.5234375,17418.5,37306.8359375,"hypothetical protein, conserved"
71,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,8656512,8726189,9385685,29169996,28430026,24991678,40S ribosomal protein S14
72,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,93374.5234375,86182.328125,81664.65625,93993.75,73814.5078125,18270.34765625,hypothetical protein
73,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,772687.625,702786.4375,667704.6875,18891.861328125,28519.611328125,37106.59375,hypothetical protein
75,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,70559.0546875,73274.40625,66963.40625,970519.3125,979896.75,967431.3125,"dynein arm light chain, axonemal, putative"
76,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,2439991,3936820,422516.25,91178624,117556328,138928864,epsilon tubulin
77,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,73342.7265625,57420.59375,57365.15625,77389.6640625,87765.4453125,71144.0390625,"hypothetical protein, conserved"
81,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,5494083.5,5433524.5,4569175,19531904,19924266,19657504,"dynein light chain LC8, putative"
82,Tb11.0870:mRNA-p1;Tb927.11.690:mRNA-p1,25667.38671875,25113.73828125,29941.623046875,Filtered,Filtered,Filtered,"hypothetical protein, conserved"
85,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,198297.578125,201493.5,213457.8125,9702541,9559455,11169928,"hypothetical protein, conserved"
86,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,1393154.5,1431160.75,1467122.75,303800.5625,254826.609375,275025.5,"metallo- peptidase, Clan MG, Family M24"
87,Tb11.1370.1-p1;Tb11.1420:mRNA-p1;Tb927.11.1850:mRNA-p1,74173.4609375,53551.53515625,48040.0546875,25615.30859375,22215.15234375,17356.875,"hypothetical protein, conserved"
88,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,389720.84375,371986.53125,342189.0625,17335362,16179226,17308318,"hypothetical protein, conserved"
89,Tb11.1410.1-p1;Tb927.11.1810:mRNA-p1,141528.1875,151068.9375,144584.21875,35611.296875,32291.78125,36875.66796875,"Ring finger domain containing protein, putative"
90,Tb11.1780.1-p1,4602325,4485924.5,4765307.5,1894859.75,1762525.5,1638667.75,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative"
91,Tb11.1790.1-p1,1079693,985201.875,885739.125,245051.75,302150.6875,287389.34375,"retrotransposon hot spot protein (RHS, pseudogene), putative"
92,Tb11.1810.1-p1;Tb11.1810b.1-p1,246070,275941.9375,Filtered,560631.25,1081643.75,895876.5625,"retrotransposon hot spot protein (RHS, pseudogene), putative"
93,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,464859.15625,683609.625,652459.3125,85096.625,63500.140625,64278.81640625,"Calponin homology (CH) domain containing protein, putative"
94,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,51024.40625,50615.828125,57995.71875,152131.3125,162996.203125,162845.59375,J Biosynthesis Protein 2
95,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,310817.9375,323614.8125,374737.8125,87906.859375,50485.25390625,59992.078125,hypothetical protein
97,Tb11.v5.0155.1-p1;Tb927.7.4720:mRNA-p1,122506.8671875,125722.40625,117261.9921875,Filtered,Filtered,Filtered,hypothetical protein
98,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,86031.96875,32975.2890625,35343.515625,377257.625,392333.53125,397715.375,"hypothetical protein, conserved"
99,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,1250006.75,1526010.625,1140107.375,811953.1875,1167192.875,310884.03125,"hypothetical protein, conserved"
100,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,6425605,6417981,5582404.5,3708336,2951086.25,2653290,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
101,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,58304.8671875,121445.171875,87029.59375,599991.3125,605553.625,579460.125,"conserved hypothetical protein, putative"
102,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,3956577.25,4265701.5,3719128.25,263468.875,293944.21875,348838.59375,proteasome beta 6 subunit
103,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,501075,440411.8125,466101.71875,155224.28125,137605.328125,143690.390625,"HD domain containing protein, putative"
104,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,446041.03125,461882.09375,397399,810285.0625,395528.34375,357381.09375,"Trm112p-like protein, putative"
105,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,144793.046875,144470.28125,126804.0703125,1276342.75,1310007.125,1345523.875,"hypothetical protein, conserved"
106,Tb11.v5.0167.1-p1;Tb927.7.4850:mRNA-p1,2789.300048828125,Filtered,4397.10302734375,114457.796875,94752.703125,112231.703125,kinetoplastid kinetochore protein 5
107,Tb11.v5.0168.1-p1;Tb927.7.4860:mRNA-p1,101026.609375,111788.828125,80459.9375,168296.09375,164960.953125,137839.421875,kinetoplastid kinetochore protein 13
108,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,87970.984375,81532.09375,80195.5625,1935687.875,1986292.5,2041957.125,"hypothetical protein, conserved"
109,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,125612.5859375,138647.578125,131677.4375,136165.578125,157587.0625,149658.515625,Present in the outer mitochondrial membrane proteome 34
110,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,1194667.75,1149001.375,1235830.375,426820,432437.09375,429909.34375,5'-3' exoribonuclease A
111,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,8636.6474609375,26313.986328125,18732.5546875,1877648.125,1913585.125,1931659.125,"hypothetical protein, conserved"
113,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,491822.9375,427577.53125,420160.46875,112961.1953125,102967.3203125,104811.3671875,"hypothetical protein, conserved"
114,Tb11.v5.0179.1-p1;Tb927.7.4980:mRNA-p1,13290.560546875,14289.220703125,35906.51171875,112096.2265625,105388.9296875,106872.359375,Present in the outer mitochondrial membrane proteome 35
115,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,644291.75,641756.4375,643507.4375,174139.03125,41195.6953125,71164.4609375,"hypothetical protein, conserved"
116,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,11219552,12404610,12102251,37292080,36903860,31544874,"60S ribosomal protein L19, putative"
117,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,7249122.5,8444626,7683100,920198,877800.5,936484.25,"hypothetical protein, conserved"
118,Tb11.v5.0184.1-p1;Tb927.7.5040:mRNA-p1,224106.515625,372011.5625,4090.261474609375,95161.609375,106042.625,124344.0078125,"kinesin, putative"
119,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,15862.53515625,19760.8046875,19394.591796875,838158,907302.375,935756.25,"hypothetical protein, conserved"
120,Tb11.v5.0187.1-p1;Tb927.7.5070:mRNA-p1,39877.16015625,36432.38671875,36466.2578125,Filtered,Filtered,Filtered,hypothetical protein
121,Tb11.v5.0188.1-p1;Tb927.7.5080:mRNA-p1,171853.484375,153620.5,178046.609375,3908.3017578125,46838.5,5175.35791015625,ATP-NAD kinase-like protein
122,Tb11.v5.0190.1-p1;Tb927.10.5950:mRNA-p1,181261.3125,114712.125,136003.109375,Filtered,Filtered,Filtered,"Serine/threonine-protein kinase NEK17, putative"
123,Tb11.v5.0191.1-p1,345185.3125,317277.5,297979.125,48043.09375,70940.890625,153807.359375,"ELMO/CED-12 family, putative"
125,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,60174.765625,62634.18359375,78906.3671875,242332.828125,258627.703125,239928.453125,"Centrosomal protein of 57 kDa, putative"
126,Tb11.v5.0196.1-p1,1391652.625,1500343.375,1270938.25,101621.4921875,113007.78125,116902.96875,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative"
127,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,4907203.5,5821031,5531354,7873184,6997272.5,6919379,universal minicircle sequence binding protein 2
128,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,2047727,2381586,2081431.125,469017.5,522286.1875,508835.71875,"proteasome subunit beta type-5, putative"
129,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,71129.3359375,30682.12109375,45298.6171875,102415.1640625,54923.78125,67455.828125,"tRNA pseudouridine synthase A, putative"
130,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,Filtered,Filtered,Filtered,344586.28125,316656.71875,298078.09375,"hypothetical protein, conserved"
131,Tb11.v5.0204.1-p1;Tb927.10.6120:mRNA-p1,30964.326171875,38341.5546875,46933.01953125,Filtered,Filtered,53131.46484375,"Peptidase M76 family, putative"
132,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,73117.6796875,87009.34375,68411.59375,50354.9140625,47239.0390625,38247.21484375,"hypothetical protein, conserved"
134,Tb11.v5.0210.1-p1;Tb927.5.286b:mRNA-p1,57781.46484375,56905.2265625,27015.859375,Filtered,Filtered,Filtered,adenosine transporter 1
135,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,79338.203125,100333.4296875,104764.546875,157396.953125,Filtered,Filtered,"variant surface glycoprotein (VSG)-related, putative"
136,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,3271061.25,3394261,3709212.75,1122757.375,1206424.625,1082346.5,retrotransposon hotspot (RHS) protein 1
137,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,2038466.25,2103509.25,1910765.5,433348.71875,318147.21875,44543.21484375,"invariant surface glycoprotein, putative"
138,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,167601.5,85640.9921875,121080.1640625,2504704.75,2793168.5,3010828,"hypothetical protein, conserved"
139,Tb11.v5.0219.1-p1;Tb927.5.490:mRNA-p1,226961.515625,274580.375,294346.25,Filtered,Filtered,Filtered,"methyltransferase, putative"
141,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,95864.9296875,55528.48828125,60298.2734375,23630.44921875,36383.67578125,23114.4921875,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
142,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,184370.109375,371250.78125,36475.31640625,Filtered,Filtered,Filtered,"invariant surface glycoprotein, putative"
143,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,1331308.875,1517190.5,1394608.875,85304.8359375,147436.53125,103679.6953125,"75 kDa invariant surface glycoprotein, putative"
144,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,1167523.875,1256935.375,995896.3125,95994.1953125,850158.375,146420.84375,"75 kDa invariant surface glycoprotein, putative"
145,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,2167966,2233773,1977477.625,186630.3125,153073.140625,229140.90625,75 kDa invariant surface glycoprotein
146,Tb11.v5.0233.1-p1;Tb927.10.5240:mRNA-p1,30343.7421875,40732.16015625,30058.978515625,192180.21875,193219.953125,129613.09375,"cAMP binding protein, putative"
147,Tb11.v5.0236.1-p1;Tb927.10.5210:mRNA-p1,126679.3125,105741.9296875,103742.78125,39070.41015625,54955.6875,47842.1796875,TFIIH basal transcription factor subunit
148,Tb11.v5.0237.1-p1;Tb927.10.5200:mRNA-p1,230855.421875,201604.796875,205652.65625,121063.7109375,99014.8515625,119456.8671875,"hypothetical protein, conserved"
149,Tb11.v5.0243.1-p1;Tb11.v5.1060.1-p1;Tb927.10.5330:mRNA-p1;Tb927.10.5340:mRNA-p1,17170232,18964478,19376078,48889168,47554424,45065720,"40S ribosomal protein S18, putative"
151,Tb11.v5.0245.1-p1;Tb927.10.5310:mRNA-p1,399298.125,339987.90625,328971.71875,160624.109375,155033.59375,150892.453125,"AMP-activated kinase, alpha 1"
152,Tb11.v5.0246.1-p1;Tb927.10.5300:mRNA-p1,679984.5,374966.65625,427003.53125,980760.5,910590.625,927673.875,"eukaryotic translation initiation factor 6 (eIF-6), putative"
153,Tb11.v5.0248.1-p1;Tb927.10.5280:mRNA-p1,479830.78125,222400.765625,199339.171875,836061.5625,28127.751953125,17841.380859375,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative"
154,Tb11.v5.0249.1-p1;Tb927.10.5270:mRNA-p1,147346.375,153663.0625,149634.484375,Filtered,66645.171875,326076.5625,mitogen-activated protein kinase kinase 5
155,Tb11.v5.0252.1-p1;Tb927.11.7310:mRNA-p1,230132.859375,264492.25,294392.375,1523363.25,1401014.25,1443446.125,"RNA binding protein, putative"
156,Tb11.v5.0253.1-p1;Tb927.11.7300:mRNA-p1,292981.65625,351296.0625,308172.0625,89603.5703125,63582.7421875,62624.7109375,"major facilitator superfamily, putative"
157,Tb11.v5.0254.1-p1;Tb927.11.7290:mRNA-p1,705119.3125,666805,642523.6875,202949.40625,94182.453125,82198.2890625,"pantothenate kinase subunit, putative"
158,Tb11.v5.0255.1-p1;Tb927.11.7280:mRNA-p1,272552.5,202879.9375,244595.65625,724630.5,696536.5,741396.1875,"DNA-direcetd RNA polymerase II, subunit 9, putative"
159,Tb11.v5.0256.1-p1;Tb927.11.7270:mRNA-p1,1517075.25,1374064.25,1239712.75,253383.5,295307.40625,68002.515625,"proteasome beta 3 subunit, putative"
160,Tb11.v5.0258.1-p1;Tb927.11.7240:mRNA-p1,120803.9765625,112380.5625,94270.2578125,2553230.5,2457803.75,2568974.5,nexin-dynein regulatory complex 2
161,Tb11.v5.0261.1-p1;Tb927.7.4480:mRNA-p1,4592685,4371645.5,3942714.75,119634.90625,143220.953125,167632.84375,"adenosine 5'-monophosphoramidase, putative"
162,Tb11.v5.0262.1-p1;Tb927.7.4490:mRNA-p1,159183.109375,154582.671875,175869.59375,417285.34375,439148.9375,433286.15625,"hypothetical protein, conserved"
163,Tb11.v5.0263.1-p1;Tb927.7.4500:mRNA-p1,6499034.5,5715308.5,4794811,127107.953125,177692.3125,204969.4375,"PX domain containing protein, putative"
164,Tb11.v5.0264.1-p1;Tb927.7.4510:mRNA-p1,91486.53125,11110.0400390625,79134.4765625,425786.0625,459870.03125,456156.6875,"Domain of unknown function (DUF4201), putative"
165,Tb11.v5.0265.1-p1;Tb927.7.4520:mRNA-p1,15928726,13355475,14662002,185103.6875,237961.703125,270627.625,"Thioredoxin-like, putative"
166,Tb11.v5.0267.1-p1;Tb927.7.4540:mRNA-p1,61800.65625,93070.09375,75389.34375,481325.09375,469153.59375,481371.4375,"hypothetical protein, conserved"
167,Tb11.v5.0268.1-p1;Tb927.7.4550:mRNA-p1,382124.21875,371112.5,320472.3125,165477.515625,188774.46875,167996.203125,Mitochondrial ribosomal protein L7/L12
169,Tb11.v5.0270.1-p1;Tb927.7.4570:mRNA-p1,5276566.5,5421143,5504215.5,1652592.375,1624826.125,1754264,inosine-guanine nucleoside hydrolase
170,Tb11.v5.0271.1-p1;Tb927.10.6350:mRNA-p1,80515.140625,70228.6171875,80722.1328125,1808518.125,2294197,1920176.625,trypanin
171,Tb11.v5.0272.1-p1;Tb927.10.6340:mRNA-p1,55274.8515625,47271.71875,43186.66015625,482711.71875,540851.1875,711773.5,"hypothetical protein, conserved"
172,Tb11.v5.0273.1-p1;Tb927.10.6330:mRNA-p1,188113.34375,102397.828125,22450.861328125,466319.0625,524484.6875,510128.625,kinetoplastid kinetochore protein 1
173,Tb11.v5.0274.1-p1;Tb927.10.6320:mRNA-p1,24333.298828125,72743.4453125,34346.49609375,1158557.25,1213633.5,1273339,"CBF/Mak21 family, putative"
174,Tb11.v5.0275.1-p1;Tb927.10.6310:mRNA-p1,1239404,1082372.75,948376.6875,72264.875,83825.7578125,76719.4375,"major vault protein, putative"
175,Tb11.v5.0276.1-p1;Tb927.10.6300:mRNA-p1,19929.146484375,19359.42578125,20210.826171875,Filtered,Filtered,Filtered,Mitochondrial ribosomal protein S5
176,Tb11.v5.0277.1-p1;Tb927.10.6290:mRNA-p1,256177.59375,307451.6875,348874.46875,1811216.25,1772881,1766576.125,"ATP-dependent DEAD/H RNA helicase, putative"
177,Tb11.v5.0278.1-p1;Tb927.10.6280:mRNA-p1,147370.21875,138434.65625,134577.390625,Filtered,Filtered,61203.47265625,"N-terminal glutamine amidase, putative"
179,Tb11.v5.0289.1-p1;Tb927.11.12770:mRNA-p1,166359.875,151909.28125,172888.75,18387.451171875,13911.7451171875,20298.470703125,"ubiquitin ligase, putative"
180,Tb11.v5.0291.1-p1;Tb927.11.12750:mRNA-p1,228174.71875,243492.78125,231395.78125,940029.375,775965.5,940017.9375,cleavage and polyadenylation specificity factor 30 kDa subunit
181,Tb11.v5.0303.1-p1;Tb927.10.15930:mRNA-p1,10672.51953125,16034.3125,26938.716796875,275832.84375,283029.96875,322058.28125,"pdz domain containing protein, putative"
182,Tb11.v5.0305.1-p1;Tb927.10.15950:mRNA-p1,38149.58203125,101424.5859375,29002.1953125,254837.984375,475796.4375,438919.9375,TATA-box-binding protein
183,Tb11.v5.0306.1-p1;Tb927.10.15970:mRNA-p1,87043.4453125,86948.3671875,93637.953125,Filtered,Filtered,Filtered,"Triglyceride lipase, putative"
184,Tb11.v5.0325.1-p1,696460.3125,768617.875,806677.6875,74262.75,96165.2265625,257987.1875,"retrotransposon hot spot (RHS) protein, putative"
185,Tb11.v5.0326.1-p1,1045278.5625,848741.8125,921598.0625,149306.59375,169242.6875,163941.5625,"retrotransposon hot spot (RHS) protein, putative"
186,Tb11.v5.0330.1-p1;Tb927.10.8440:mRNA-p1,22544292,21621350,23213760,4526004,3599016.5,4566483.5,glucose transporter 1B
187,Tb11.v5.0331.1-p1;Tb927.10.8500:mRNA-p1;Tb927.10.8510:mRNA-p1;Tb927.10.8520:mRNA-p1,188712.375,243665.890625,222286.65625,582125.6875,267559,227200.421875,"glucose transporter, putative"
